"author";"first 3-gram";"second 3-gram";"third 3-gram";"fourth 3-gram";"fifth 3-gram"
"Aldrin";"update linear models";"models logistic regressionipynb";"linear models logistic";"";""
"Ralf Barkow";"src/main/resources/ directly not";"pluginproperties must be";"not inside migrations";"must be located";"located in src/main/resources/"
"Justin";"ui to multitracker";"will be called";"which returns the";"when exporting data";"user this will"
"John Romkey";"added prusa server";"";"";"";""
"Ross Chapman";"update text and";"update copyright date";"text and email";"email address change";"date update text"
"paulgrote";"wk 4 stuff";"bootcamp wk 4";"";"";""
"benwubenwu";"files via upload";"add files via";"";"";""
"Vivian L";"merge pull request";"from viviaann/master changed";"viviaann/master changed some";"viviaann/master changed backgrounds";"request #84 from"
"Bao";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/osucsd/osucsducsdedu";"center project list";""
"Bao Hoang";"merge pull request";"from bghoang/master fix";"bghoang/master fix style";"style of form";"request #79 from"
"brendan";"some home css";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/osucsd/osucsducsdedu";""
"blau0123";"some home css";"request #78 from";"pull request #78";"merge pull request";"from blau0123/master some"
"Wavebrother";"update for 30017";"";"";"";""
"Hanna Alemu";"merge pull request";"hannaalemu/hannaalemupatch1 update readmemd";"from hannaalemu/hannaalemupatch1 update";"request #2 from";"request #1 from"
"Grant";"trying to add";"up api calls";"to add separate";"splitting up api";"some changes and"
"Victor Andres Hernandez P";"en menu 3";"ajuste en menu";"";"";""
"alebelcor";"energy saving settings";"add energy saving";"";"";""
"Ellen Kenyon";"files via upload";"add files via";"";"";""
"Alex-Au1";"update and rename";"implemented code to";"already implemented code";"updated to match";"to the ""change"
"Roger Chapman";"window to max";"window arrangements in";"the size of";"the left tmux";"size of the"
"David Qiu";"pick_topics and remove_topics";"merge branch 'feature/filter_topics'";"branch 'feature/filter_topics' into";"and remove_topics scripts";"'feature/filter_topics' into dev"
"sMash0";"readme and mention";"mention god's cellphone";"finish readme and";"and mention god's";""
"Burak Ozarslan";"setup django project";"flake8 and travisci";"and travisci configuration";"added flake8 and";""
"Darnell";"when follows and";"submissions can occur";"score submissions can";"on when follows";"limits on when"
"pentarctagon";"wml unit tests";"windowstimeoutcpp and related";"unit tests are";"this is no";"the wml unit"
"Marcel Marceau";"paradise 11085 >";"paradise 11043 >";"11085 > accepted";"11043 > accepted";""
"Weverson Nascimento";"add hero component";"";"";"";""
"aliefamzari";"to tee a";"change >> to";"add dbpasswd check";">> to tee";""
"torrent benoit";"add media query";"";"";"";""
"CJXDBot";"was `jx create";"run was `jx";"command run was";"b org cbkubecd";"web d actuator"
"cjxd-bot-test";"merge pull request";"request #2 from";"pull request #2";"promote automatically merged";"merged promotion pr"
"Wenpo Pao";"fix a syntax";"a syntax error";"";"";""
"Safia Abdalla";"update dependency reactsyntaxhighlighter";"request #4770 from";"reactsyntaxhighlighter to v12";"pull request #4770";"nteract/renovate/reactsyntaxhighlighter12x update dependency"
"anthonyjchriste";"update incident data";"incident data collector";"";"";""
"Angelica ""Angie"" Quirarte";"update issue templates";"";"";"";""
"Priz";"remotetracking branch 'origin/master'";"merge remotetracking branch";"have been documented";"fixed autodoc program";"files have been"
"bozhidar.slavov";"using angular forms";"register panel edited";"panel edited using";"edited using angular";""
"joshith";"to provide stop_loss";"to honor strategies";"strategies to provide";"provide stop_loss take_profit";"honor strategies to"
"Edmund Miller";"loader for grub";"fixnode add boot";"featsyncthing add node";"boot loader for";"add boot loader"
"Gordon Hsu";"unit test cases";"pid controller and";"its unit test";"generic pid controller";"controller and its"
"visn0";"structure of minimax";"made structure of";"";"";""
"Pablo Bonilla";"salida en front";"en front end";"de salida en";"alerta de salida";"front end alerta"
"AlphaCentaury";"rtw sprint configuration";"beta 1 rtw";"1 rtw sprint";"";""
"kartelant";"incorrect description parsing";"fix incorrect description";"";"";""
"Eric Winger";"remove from dictionary";"from dictionary tweak";"";"";""
"Eric Marty";"workouts exercises entries";"users workouts exercises";"tables users workouts";"start database schema";"schema and generate"
"shinchiro";"visit http//tinycc/shinchiro_encodes to";"to download it";"of a bookworm";"http//tinycc/shinchiro_encodes to download";"bookworm 14 [gjm][810p]mkv"
"SmellyModder";"added hurt animation";"";"";"";""
"Sandeep Sagar";"api auth server";"";"";"";""
"Mykle";"request #15 from";"pull request #15";"mykle1/dependabot/npm_and_yarn/eslint680 bump eslint";"merge pull request";"from mykle1/dependabot/npm_and_yarn/eslint680 bump"
"Perry Miller";"with visitor class";"when drawables are";"when converting matrix";"visitor class when";"using type traits"
"Fazlur Rahman";"add orderonline app";"";"";"";""
"Elbert Alias";"merge pull request";"tefotazo/simbelecommerce added ""simbel""";"request #2853 from";"request #2849 from";"request #2822 from"
"Gilson Oliveira";"reajuste no controller";"";"";"";""
"Richard Diz";"with a bad";"user role but";"set default user";"role but with";"default user role"
"devops-intellipaat";"added feature a";"";"";"";""
"Yusuf";"merge with feature1";"master merge with";"with security patch";"with feature1 and";"merged with security"
"geraldotakashikodaira";"files via upload";"add files via";"";"";""
"Thomas Cort";"timeout for read";"misc terminal settings";"a timeout for";"";""
"liruqi";"partially convert from";"from 20191220 stream13";"convert from 20191220";"";""
"Thomas Rampelberg";"version of htmltest";"update to new";"to new version";"of htmltest and";"new version of"
"grampelberg";"don't escape toc";"";"";"";""
"Derrick Burns";"signedoffby derrick burns";"derrick burns <derrick@tidepoolorg>";"burns <derrick@tidepoolorg> *";"updated service profile";"service profile description"
"Charles Pretzer";"version to 171";"update linkerd 1";"to 171 signedoffby";"signedoffby charles pretzer";"linkerd 1 version"
"aprilahijriyan";"update version number";"update to stable";"to stable version";"";""
"Marcus Wilson";"to chadwick user";"date to chadwick";"created date to";"add created date";""
"skullbe";"merge pull request";"tjdlsgn98/patch22 update kr_united_kingdom_l_englishyml";"spacedove/patch15 update kr_fengtian_l_englishyml";"request #2211 from";"request #2210 from"
"l1oret";"add team factory";"";"";"";""
"Armok628";"s and fix";"and fix numberchar";"add s and";"";""
"SeanRen";"uniformity diagonal matrixmd";"scale or uniformity";"right multiply scale";"projection matrix left";"or uniformity diagonal"
"Kari Lockwood-Oliver";"to nav menu";"on all pages";"nav menu on";"menu on all";"changes to nav"
"Abdelrahman Bakry";"life cycle hooks";"exercise disabled button";"components life cycle";"";""
"keum";"status for 12312019";"for 12312019 045000";"for 12312019 044000";"12312019 045000 pm";"12312019 044000 pm"
"Geoffrey Lovelace";"quickstart guide for";"guide for vscode/docker";"add quickstart guide";"";""
"Amirhossein";"request #1 from";"pull request #1";"merge pull request";"from amirhossein693/update_sazito_phoenix update";"amirhossein693/update_sazito_phoenix update appsjson"
"dawdads";"files via upload";"add files via";"";"";""
"Balasubramanian Narasimhan";"initial commit initial";"commit initial commit";"";"";""
"Adam Schaefers";"fix hacky build";"compton fix hacky";"";"";""
"bkinney91";"update service file";"service file for";"for new device";"file for new";""
"Daniel Hoffmann";"ninja 13 ex";"13 ex 2";"";"";""
"Vaibhav Kamra";"address review comments";"";"";"";""
"Jason Leach";"setting up redux";"";"";"";""
"Rodrigo Brito";"in doc and";"fixdoc ajustments in";"doc and parameters";"ajustments in doc";""
"Guangning";"verifying this change";"motivation the current";"### verifying this";"### motivation the";"### modifications *"
"zuquan song";"zip tools when";"when vm sets";"vm sets up";"vagrantfile update for";"update for build"
"Sijie Guo";"a specific broker";"tool for operations";"operations of a";"of a specific";"for operations of"
"Alex Browne";"workaround for golangcilint";"to go modules";"to fix ci";"switch to go";"some inconsistencies in"
"Hillgner Lima";"where t attribute";"added t obteratributo<t>this";"pasta de documentação";"alterado pasta de";"type where t"
"Aishwarya Pawar";"files via upload";"add files via";"";"";""
"kienchen";"remove lock files";"";"";"";""
"bartkoz";"unused rating model";"tests removed unused";"tests pass now";"removed unused rating";"pass now added"
"Luis Alvarez";"updated to support";"to support single";"the 'always' option";"support single page";"single page integrations"
"Turnip1234";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/turnip1234/mywebsite";"";""
"Alice Wercker";"commit at 20200101";"canary commit at";"at 20200101 005946631900279";"at 20200101 004415482647882";"20200101 005946631900279 +0000"
"Le Heng Chieu";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/cjlh/dotfiles";"";""
"Dream-LC";"updated 20200101 084320";"site updated 20200101";"";"";""
"tiago archanjo";"update indexhtml add";"indexhtml add section";"indexhtml add container";"add container text";""
"latent-info";"uploading of articles";"regular uploading of";"";"";""
"wandererfan";"symbol location for";"potential nullptr while";"of section label";"nullptr while restoring";"location for font"
"vocx-fc";"merge branch 'master'";"branch 'master' into";"'master' into utilities_gui";"";""
"Tianon Gravi";"unify templates slightly";"tls support in";"templates slightly more";"support in 60+";"in 60+ and"
"yosifkit";"merge pull request";"unify templates slightly";"tls support in";"templates slightly more";"support in 60+"
"TylerSeiford";"v002 still need";"still need a";"need a cap";"for the strip";"cap for the"
"binishmaharjan";"to signupview depedency";"deleting signup view";"creating new file";"adjustment to signupview";""
"Binish Maharjan";"merge pull request";"up to storyboard";"sign up to";"request #32 from";"request #31 from"
"Haseeb Majid";"with eslint as";"will be deprecated";"which issue is";"type [ ]";"tslint will be"
"BuildTools";"to diskbased sqlite";"still has many";"prototype create/run lobby";"lobby functionality still";"inmemory dictionary to"
"Suryansh";"widgets grid drag";"grid drag setup";"dashboard widgets grid";"";""
"Mumeen Idris";"to get /todos/id";"test cases to";"cases to get";"add test cases";""
"Markus Schirp";"unparserastlocalvariablescope mutant exclusion";"add unparserastlocalvariablescope mutant";"readme badges *";"merge pull request";"fix readme badges"
"vlad";"version of target_net";"use eval on";"the correct version";"on the correct";"eval on the"
"Steven Saunders";"validation and error";"js validation and";"fixed js validation";"and error styles";""
"Tobias Briones";"that i had";"scripts that i";"i had from";"had from 2016";"from 2016 added"
"Ken Dickey";"merge branch 'master'";"branch 'master' into";"'master' into branch9";"";""
"Nora_Wang";"summary of data";"of data typespy";"update summary of";"update and rename";"typespy to summary"
"ChrisH";"update link to";"toward poster link";"to poster pdf";"to plume animation";"poster preview dimension"
"lexx";"vets list and";"update controller closes";"list and update";"controller closes #15";"and update controller"
"Thomas Andolf";"pass number 42";"dagens pass number";"added dagens pass";"";""
"Emad Alharbi";"updated/remove files to";"to publish in";"publish in maven";"in maven repo";"files to publish"
"devanshkaria88";"unlike functions for";"like and unlike";"functions for posts";"and unlike functions";"added like and"
"GihanAyesh";"of https//githubcom/greatwhitesharks/hrmsystem into";"https//githubcom/greatwhitesharks/hrmsystem into gihan";"merge branch 'master'";"merge branch 'gihan'";"leave limit method"
"Gihan Ayeshmantha";"merge pull request";"request #4 from";"request #3 from";"pull request #4";"pull request #3"
"yasiru";"leave functions added";"";"";"";""
"yasiruRathnayaka97";"yasirurathnayaka97/master leave functions";"request #7 from";"pull request #7";"merge pull request";"merge branch 'master'"
"Thamidu Muthukumarana";"request #5 from";"pull request #5";"merge pull request";"merge branch 'master'";"from greatwhitesharks/gihan paygrade"
"Olle Jonsson";"fix yard warnings";"";"";"";""
"mklewandowski";"tool to export";"to export graph";"improve image sizing";"graph as image";"export graph as"
"zrrrzzt";"updates data ignore";"";"";"";""
"Nick Holke";"re seeding postgres";"finished re seeding";"";"";""
"dGrammatiko";"update dependency @11ty/eleventypluginsyntaxhighlight";"request #35 from";"pull request #35";"merge pull request";"from dgrammatiko/renovate/11tyeleventypluginsyntaxhighlight3x update"
"Dimitrios Grammatikogiannis";"'master' of githubcomdgrammatiko/formally";"of githubcomdgrammatiko/formally *";"merge branch 'master'";"githubcomdgrammatiko/formally * 'master'";"branch 'master' of"
